"Year" "Flood"
"1" 1 9.9974
"2" 2 10.5556
"3" 3 9.9014
"4" 4 11.48
"5" 5 12.846
"6" 6 11.133
"7" 7 10.1126
"8" 8 10.306
"9" 9 10.498
"10" 10 10.306
"11" 11 10.306
"12" 12 10.8642
"13" 13 10.786
"14" 14 10.786
"15" 15 10.845
"16" 16 10.845
"17" 17 11.133
"18" 18 10.306
"19" 19 9.767
"20" 20 9.6888
"21" 21 9.3432
"22" 22 11.0754
"23" 23 10.306
"24" 24 9.612
"25" 25 9.3432
"26" 26 9.228
"27" 27 10.1894
"28" 28 10.4596
"29" 29 10.4596
"30" 30 9.7272
"31" 31 9.6696
"32" 32 9.6504
"33" 33 10.1318
"34" 34 10.5556
"35" 35 9.9014
"36" 36 9.9782
"37" 37 10.4596
"38" 38 11.8832
"39" 39 10.5364
"40" 40 10.4212
"41" 41 10.2278
"42" 42 10.2278
"43" 43 10.9026
"44" 44 9.324
"45" 45 9.2472
"46" 46 9.2856
"47" 47 9.4392
"48" 48 9.3816
"49" 49 8.9962
"50" 50 8.9962
"51" 51 9.073
"52" 52 9.2664
"53" 53 9.767
"54" 54 10.306
"55" 55 9.0922
"56" 56 8.9962
"57" 57 8.9962
"58" 58 9.959
"59" 59 9.516
"60" 60 9.5736
"61" 61 9.228
"62" 62 9.5736
"63" 63 9.2856
"64" 64 9.0922
"65" 65 10.1702
"66" 66 9.073
"67" 67 8.9962
"68" 68 8.881
"69" 69 9.228
"70" 70 8.9578
"71" 71 9.228
"72" 72 9.516
"73" 73 10.0358
"74" 74 10.4212
"75" 75 10.4212
"76" 76 9.9206
"77" 77 10.845
"78" 78 10.5748
"79" 79 10.0358
"80" 80 9.767
"81" 81 9.612
"82" 82 10.0358
"83" 83 8.9578
"84" 84 9.5544
"85" 85 9.5736
"86" 86 9.612
"87" 87 9.959
"88" 88 9.228
"89" 89 9.612
"90" 90 9.3432
"91" 91 10.5748
"92" 92 11.0754
"93" 93 10.2278
"94" 94 10.69
"95" 95 13.924
"96" 96 10.306
"97" 97 10.6516
"98" 98 10.306
"99" 99 11.923
"100" 100 12.462
"101" 101 11.037
"102" 102 10.9986
"103" 103 11.037
"104" 104 10.151
"105" 105 11.1906
"106" 106 10.7284
